ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
회사채/NNG,33985,38789,72774,0.0053453772749507,0.0076599714407417,0.6978325332284973
국고채/NNG,33980,37405,71385,0.0053445908431021,0.0073866619851231,0.7235461503269245
크레딧/NNG,10395,11367,21762,0.0016349918132444,0.0022447316344043,0.7283684999068031
통안채/NNG,9702,11492,21194,0.0015259923590281,0.0022694163756993,0.6724162103386057
등급/NNG,9737,11239,20976,0.0015314973819683,0.0022194544593182,0.6900332536846903
순매수/NNG,10018,10523,20541,0.0015756948518598,0.0020780602611803,0.7582527231259505
채권시장/NNG,9748,10238,19986,0.0015332275320353,0.0020217790510277,0.7583556330034855
은행채/NNG,9403,10170,19573,0.0014789637344817,0.0020083505517632,0.7364071641692691
여전채/NNG,8915,9721,18636,0.0014022079860581,0.0019196829610314,0.7304372724674822
민평/NNG,7235,8393,15628,0.0011379668849277,0.0016574322695131,0.6865842459203413
신용등급/NNG,7001,7780,14781,0.0011011618744131,0.0015363782982023,0.7167257411156845
고용/NNG,6723,7402,14125,0.0010574362636308,0.0014617316405261,0.7234134052473418
특수채/NNG,6164,7564,13728,0.000969513182957,0.0014937230652445,0.6490581858949604
신용스프레드/NNG,6273,7197,13470,0.0009866573972566,0.0014212486648023,0.6942186977490165
gdp/NNG,6383,7031,13414,0.0010039588979258,0.0013884673283625,0.7230698752630031
유동성/NNG,6366,6909,13275,0.0010012850296406,0.0013643750208586,0.7338781598409093
하향/NNG,6008,6435,12443,0.0009449765092806,0.0012707704818678,0.7436248502496577
수요예측/NNG,5690,6153,11843,0.0008949594437095,0.0012150817055062,0.7365426042166098
신흥국/NNG,4649,6044,10693,0.0007312243328305,0.001193556611097,0.6126431926496139
순발행/NNG,4880,5561,10441,0.0007675574842359,0.001098174770733,0.6989392806061364
유로/NNG,4546,5197,9743,0.0007150238367493,0.0010262928040819,0.696705495649405
배포/NNG,4184,5517,9701,0.0006580861709105,0.0010894857417972,0.6040337616763473
현황/NNG,4174,4725,8899,0.0006565133072133,0.0009330832209519,0.7035956627143432
자본/NNG,4174,4411,8585,0.0006565133072133,0.0008710751508188,0.7536815929098325
종합/NNG,3409,4806,8215,0.0005361892343771,0.0009490789333111,0.5649574714576179
부정적/VAX,3994,4170,8164,0.0006282017606636,0.000823482969602,0.7628594444001944
종가/NNG,3444,4543,7987,0.0005416942573173,0.0008971422376263,0.6037997483548955
irs/NNG,3424,4232,7656,0.0005385485299229,0.0008357266012843,0.6444075479891342
본부/NNG,3211,4039,7250,0.0005050465331724,0.0007976133607248,0.6331971830480824
장기물/NNG,3053,3753,6806,0.0004801952867566,0.0007411346726418,0.6479190685344108
cd/NNG,2998,3621,6619,0.000471544536422,0.0007150675858342,0.6594405141044992
공사채/NNG,3070,3396,6466,0.0004828691550418,0.0006706350515032,0.7200177711551755
매력/NNG,2921,3516,6437,0.0004594334859535,0.0006943324031464,0.6616909766439815
선진국/NNG,2735,3540,6275,0.0004301782211855,0.0006990718734751,0.6153562137282191
crs/NNG,2735,3517,6252,0.0004301782211855,0.0006945298810768,0.619380436905856
투신/NNG,2952,3238,6190,0.0004643093634148,0.0006394335385063,0.7261260716781849
무단/NNG,2005,3842,5847,0.0003153591712895,0.0007587102084438,0.4156516780450064
뉴스/NNG,2572,2913,5485,0.000404540542921,0.0005752532111392,0.7032390868708435
차입/NNG,2365,2828,5193,0.0003719822643889,0.0005584675870586,0.6660767303401119
기자/NNG,1156,3880,5036,0.0001818230433968,0.0007662143697975,0.2373004873883005
복제/NNG,2466,2558,5024,0.0003878681877307,0.0005051485458613,0.7678299599364807
부각/NNG,2401,2493,4894,0.0003776445736988,0.0004923124803879,0.7670830798383991
신청/NNG,2239,2620,4859,0.0003521641818041,0.0005173921775437,0.6806523119001198
단기물/NNG,2295,2505,4800,0.0003609722185085,0.0004946822155522,0.7297052676646226
pmi/NNG,2317,2414,4731,0.0003644325186423,0.0004767117238895,0.7644714832455596
무보증/NNG,1737,2846,4583,0.0002732064242044,0.0005620221898051,0.4861132338906712
cds/NNG,1855,2723,4578,0.0002917662158315,0.0005377324043708,0.5425862630928622
커브/NNG,2145,2369,4514,0.0003373792630504,0.0004678252170233,0.7211651932683955
차환/NNG,2081,2227,4308,0.0003273129353883,0.0004397833509121,0.744259496657725
상위/NNG,2024,2187,4211,0.0003183476123142,0.0004318842336977,0.7371132990630427
주식시장/NNG,2027,2103,4130,0.0003188194714234,0.0004152960875474,0.7676919696166502
금융위기/NNG,1945,2092,4037,0.0003059219891063,0.0004131238303135,0.7405091806836014
cp/NNG,1902,2014,3916,0.0002991586752083,0.0003977205517454,0.7521830941234391
듀레이션/NNG,1848,2013,3861,0.0002906652112434,0.000397523073815,0.7311907921568147
구조조정/NNG,1858,1996,3854,0.0002922380749406,0.0003941659489989,0.7414087281837698
일자/NNG,1500,2316,3816,0.0002359295545807,0.0004573588867142,0.5158521271461612
금지/NNG,1097,2628,3725,0.0001725431475833,0.0005189720009865,0.3324710143425036
양적완화/NNG,1226,2404,3630,0.0001928330892773,0.0004747369445859,0.4061893464927467
유동화/NNG,1563,2043,3606,0.0002458385958731,0.0004034474117258,0.609344833373603
발행금액/NNG,1747,1836,3583,0.0002747792879016,0.0003625694801413,0.7578665688975964
전문/NNG,1629,1814,3443,0.0002562194962746,0.0003582249656733,0.7152474585154208
유출/NNG,1577,1841,3418,0.0002480406050492,0.0003635568697931,0.6822608116038361
수록/NNG,1620,1793,3413,0.0002548039189471,0.0003540779291358,0.7196266640201618
외인/NNG,1534,1873,3407,0.0002412772911512,0.0003698761635646,0.6523191135809794
조기/NNG,1515,1781,3296,0.0002382888501265,0.0003517081939715,0.6775186197278016
발행시장/NNG,1455,1813,3268,0.0002288516679433,0.000358027487743,0.6392013903344701
매일/MAG,899,2330,3229,0.0001414004463787,0.0004601235777392,0.3073097168231726
트레이드/NNG,1149,2049,3198,0.0001807220388088,0.000404632279308,0.4466327775873159
저금리/NNG,1402,1787,3189,0.0002205154903481,0.0003528930615536,0.624879076333391
일드커브/NNG,1412,1666,3078,0.0002220883540453,0.00032899823198,0.6750442174375189
투자전략/NNG,1478,1597,3075,0.0002324692544468,0.0003153722547852,0.7371265256202936
종금/NNG,1462,1596,3058,0.0002299526725313,0.0003151747768548,0.7296036657058834
순상환/NNG,1406,1593,2999,0.000221144635827,0.0003145823430637,0.7029785386974415
부채비율/NNG,1306,1680,2986,0.0002054159988549,0.0003317629230051,0.6191650260200339
mmf/NNG,1430,1525,2955,0.0002249195087002,0.0003011538437993,0.7468591662744606
